Categoria;Nome;Prezzo;Allergeni;Ingredienti

STUZZICHINI;PORZ. PATATINE FRITTE;5.00;;Patatine fritte
STUZZICHINI;CECIO FRITTO;7.00;;Farinata di ceci fritta.
STUZZICHINI;CECIO;4.00;;Farinata di ceci 
STUZZICHINI;PORZ. PATATINE FRITTE CON SALSE;5.00;;patatine con salse
STUZZICHINI;FRITTO MISTO;8.00;;misto fritto con patate mozzarella in carrozza verdure fiori di zucca (ingredienti a discrezione della cucina)
STUZZICHINI;CREMA FRITTA;5.00;;crema fritta con zucchero vanigliato 
STUZZICHINI;3 BOCCONCINI DI PIZZA FRITTA;9.50;;margherita napoli cotto e scamorza e cipolla caramellata 
PIZZE SPECIALI;BENO & DENY;8.50;1,7;impasto classico, pomodoro italiano, fiordilatte, aglio, origano
PIZZE SPECIALI;DELICATA;9.50;1,7,12;impasto classico, fiordilatte, datterini speziati, olive taggiasche, capperi
PIZZE SPECIALI;NEW;9.50;1,7,12;impasto classico, fiordilatte, pancetta, friarielli, datterini speziati
PIZZE SPECIALI;SPECIALE;9.50;1,7;impasto classico, fiordilatte, porchetta, grana, cipolla, patate al forno
PIZZE SPECIALI;BRUSCHETTA;9.00;1,7,12;impasto schiacciata, olio, sale, rosmarino, cipolla di tropea, datterini, stracciatella/bufala, basilico
PIZZE SPECIALI;PIZZA DI MAMMA;10.50;1,7;impasto classico, bordo farcito mozzarella e salsiccia, pomodoro italiano, mozzarella, cipolla di tropea/rossa
PIZZE SPECIALI;MESSICANA;10.50;1,7;impasto classico, pomodoro italiano, mozzarella, fagioli piccanti, salsiccia, peperone, cipolla, guacamole (opzionale)
PIZZE SPECIALI;TOMINO;9.50;1,7,12;impasto schiacciata, olio evo, sale, rosmarino, verdure grigliate, cipolla, funghi porcini, pomodorini, tomino
PIZZE SPECIALI;NATALE;10.50;1,7,8;impasto schiacciata, salsa di pistacchio, mortadella, stracciatella/burrata
PIZZE SPECIALI;MIA;10.50;1,4,7,12;impasto classico, pomodoro italiano, tomino piccante, acciuga del cantabrico, datterini speziati, origano, aglio
PIZZE SPECIALI;HOLLYWOOD;10.50;1,7,12;impasto classico, bufala/fiordilatte, funghi freschi, datterini speziati/pomodorini gialli in salsa agrodolce
